Row,Name,Region,Scientific Name,Sun Exposure,Rating,Description,Color,Blooming Period,Fruit Characteristics,Height,Width,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements,Image,Type,Size
849,Larkspur,2,Consolida ambigua,"['sun', 'partial sun']",10,"Larkspur is a cool season annual that was popular in the past for spring color; blue, purple-blue, white, and pink. Sometimes included in wildflower mixes, or used as a cut flower. Tends to reseed producing a moving stand of spring color in the spring border. Seedlings begin germinating in the fall in the southern two-thirds of the state.","{'blue', 'white', 'pink'}",{'spring'},FALSE,"[2, 5]","[1, 2]","Tolerant of most well drained sites, tends to migrate in the garden to sunnier locations over time. Old fashioned singles reseed more reliably than doubles or ""perennial lines"".",2,0,0,2,0,http://ekps.tamu.edu//images/plants/consolidaambigua.jpg,['annual'],"['small', 'medium']"
850,Texas Bluebonnet,2,Lupinus texensis,"['sun', 'partial sun']",10,"Texas Bluebonnets are one of six Lupinus spp. that are considered to be the Texas state flowers. While long valued as Texas' premier wildflower, creating seas of blue hillsides in spring, there has been a movement of late to plant bluebonnet seedlings as cool season bedding plants. Selection work by Texas A&M University Extension personnel has expanded the color range from blue to maroon (wouldn't you know it with Aggies involved), pink, or white.","{'blue', 'white', 'pink', 'maroon'}",{'spring'},FALSE,"[1.0, 1.5]","[1.5, 2.0]",Tolerate most well drained soils; use scarified seed to maximize the seedlings during the first year after sowing.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/lupinus.jpg,['annual'],"['small', 'medium']"
851,"Daffodils, Jonquils, Paperwhites, or Narcissus",2,Narcissus spp.,['sun'],10,The genus Narcissus encompasses dozens of species and hundreds if not thousands of cultivars. One or more cultivars are adapted to almost every region of the state. Flower stalks arise from tufts of linear roundish leaves. Flowers vary from single peony-like to trumpet-shapes subtended by a ring of petals. Others are borne as several flowers on the same stalk as in Paperwhite Narcissus.,"{'red', 'pink', 'yellow', 'orange', 'white'}","{'spring', 'winter'}",FALSE,"[1.0, 1.5]","[0.5, 0.8333333333333334]",Foliage dies down in summer; check with your local extension agent or professional nursery personnel to determine the best cultivars for your region.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/narcissu.jpg,"['perennial', 'annual']","['small', 'medium']"
852,Texas Persimmon,2,Diospyros texana,['sun'],10,"Texas Persimmon is a small native tardily deciduous tree. The fine textured dark green foliage, gnarled branching habit, exfoliating bark, and wide range of suitable environments for growth suggest it is underutilized in modern landscapes. The trunks of old specimens are sometimes the rival of Crapemyrtles (Lagerstroemia spp.). Familiarity often breeds contempt, but susceptible to a leaf roller, leaf spot, and cotton root rot also limit useage.","{'white', 'green'}",{'spring'},TRUE,"[15, 20]","[15, 20]",Tolerant of most soils and sites as long as they were sunny and the soils not soggy.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/diospyrostexana6.jpg,"['shrub', 'tree']","['small', 'large']"
853,Common Persimmon,2,Diospyros virginiana,['sun'],10,"Common Persimmon is a widely distributed medium to large deciduous tree forming colonies via suckers. In youth the form is distinctively pyramidal becoming an oval with age. The dark glossy green leaves tend to droop dog-ear fashion on the limbs giving a languid look. Many specimens develop yellow, orange, to red-purple fall color. Males hold potential as street trees, while females yield edible fruit that can be messy in the landscape.","{'white', 'yellow', 'green'}",{'spring'},TRUE,"[35, 40]","[15, 20]","Native to east and east-central Texas; nice durable tree but susceptible to leaf spots and persimmon wilt; tolerant of very adverse sites, maybe a candidate for parking lot islands if a male is used.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/diospvir.jpg,['tree'],"['medium', 'large']"
1261,Indian Paintbrush,3,Castilleja indivisa,"['sun', 'partial sun']",10,"Indian Paintbrush, a reseeding annual, is one of Texas' most widely recognized wildflowers. Its occurance is often accompanied by that of Bluebonnets (Lupinus spp.), one of the genera on which it is parasitic. The orange to red-orange flowers are its aesthetic feature. Steeped in Texas legend. Does not perform particularly well in cultivated gardens, best left as a wildflower.","{'red', 'yellow', 'orange'}",{'spring'},FALSE,"[1, 2]","[1.0, 1.5]",Tolerant of most any sunny well drained site. Sow seeds in autumn.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/castille.jpg,['annual'],"['small', 'medium']"
1262,Retama or Jerusalem Thorn,3,Parkinsonia aculeata,['sun'],10,"Retama is a small deciduous single to multi-stem tree with bright green bark. Its foliage is rather sparse and is both cold and drought deciduous, during which times the trunk acts as the photosynthetic organ. Needle-like thorns at the nodes on twigs and old trunks are maintenance and pedestrian hazards. The yellow flowers with red-orange throats are borne en masse in spring or early summer and then sproradically to autumn.","{'red', 'yellow', 'orange'}","{'fall', 'spring', 'summer'}",TRUE,"[15, 30]","[15, 20]","Marginally cold hardy in USDA zone 8a; very drought, salt, and heat tolerant, more tolerant of seasonally poor drainage than given credit for in the literature.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/parkinsoniaaculeata6.jpg,"['shrub', 'tree']","['small', 'large']"
1264,Dwarf Pampas Grass,3,Cortaderia selloana,"['sun', 'partial sun']",10,"Dwarf Pampas Grass is a smaller version of the species type, that is about half to two-thirds the size. Useful near parking lots and sidewalks to allow a better range of vision.",{'white'},{'summer'},TRUE,"[5, 6]","[5, 6]",Similar to the species type in cultural requirements.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/cortaderiasellowiana.jpg,"['perennial', 'grass']",['small']
1265,Aleppo Pine,3,Pinus halepensis,['sun'],10,Aleppo Pine is a medium to large coniferous tree that is generally similar in appearance and usage to Pinus eldarica (Afghan Pine). Probably one of the best pines for use in USDA zone 8 and warmer portions of the southwestern USA deserts.,set(),"{'spring', 'winter'}",TRUE,"[30, 50]","[15, 25]","Fairly soil adaptable as long as it is well drained. Not as cold hardy as Afghan Pine, but otherwise well adapted to arid conditions.",2,0,0,2,0,None,['tree'],"['medium', 'large']"
1266,Chinese Pistachio,3,Pistachia chinensis,['sun'],10,"Chinese Pistachio is a medium size deciduous tree suitable for use in all but the coldest portions of the Panhandle. It develops a spreading apple-tree or white oak-like growth habit. The medium textured dark green foliage turns yellow, orange, red, or maroon in autumn and is one of our most reliable trees for fall color in the southern two-thirds of Texas. Red to blue-black fruit are features of female trees, but seedlings can be invasive in some areas of Texas.","{'red', 'green'}",{'spring'},TRUE,"[30, 40]","[40, 50]","Highly adaptable, to the point of invasiveness in some locales; tends to be slow to establish in the landscape requiring three to five years before putting on vigorous growth, bit of an ugly duckling.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/pistaciachinensis.jpg,['tree'],"['medium', 'large']"
1673,Indian Paintbrush,4,Castilleja indivisa,"['sun', 'partial sun']",10,"Indian Paintbrush, a reseeding annual, is one of Texas' most widely recognized wildflowers. Its occurance is often accompanied by that of Bluebonnets (Lupinus spp.), one of the genera on which it is parasitic. The orange to red-orange flowers are its aesthetic feature. Steeped in Texas legend. Does not perform particularly well in cultivated gardens, best left as a wildflower.","{'red', 'yellow', 'orange'}",{'spring'},FALSE,"[1, 2]","[1.0, 1.5]",Tolerant of most any sunny well drained site. Sow seeds in autumn.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/castille.jpg,['annual'],"['small', 'medium']"
1674,Dusty Miller,4,Senecio cineraria,"['sun', 'partial sun']",10,"Dusty Miller is a subtropical perennial or woody subshrub more commonly used as a summer annual. The primary asset is silver-gray to silver-white highly lobed foliage. The small yellow flowers produced in the second year are mildly attractive, but signal the opening up of the plant and the end of its useful life as a compact bedding plant. Dusty Miller foliage contrasts well with dark green foliage plants or those with yellow or red flowers.",{'yellow'},{'spring'},FALSE,"[3, 12]","[0.6666666666666666, 1.0]","Typically planted as a spring or summer annual; overwinters in southern half to two-thirds of Texas and is removed after flowering in the second spring, effectively a biennial usage.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/senecioc.jpg,"['perennial', 'shrub', 'annual', 'tropical']",['small']
1675,Texas Bluebonnet,4,Lupinus texensis,"['sun', 'partial sun']",10,"Texas Bluebonnets are one of six Lupinus spp. that are considered to be the Texas state flowers. While long valued as Texas' premier wildflower, creating seas of blue hillsides in spring, there has been a movement of late to plant bluebonnet seedlings as cool season bedding plants. Selection work by Texas A&M University Extension personnel has expanded the color range from blue to maroon (wouldn't you know it with Aggies involved), pink, or white.","{'blue', 'white', 'pink', 'maroon'}",{'spring'},FALSE,"[1.0, 1.5]","[1.5, 2.0]",Tolerate most well drained soils; use scarified seed to maximize the seedlings during the first year after sowing.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/lupinus.jpg,['annual'],"['small', 'medium']"
1676,Texas Redbud,4,Cercis canadensis var. texensis,['sun'],10,"Texas Redbuds are valued for their attractive dark rose-purple flowers and dark glossy green leaves. Texas Redbuds have smaller, glossier, thicker, and more undulate margin leaves than the species type. Also Texas Redbuds are more tolerant to drought and are smaller than the species type.",{'white'},{'spring'},TRUE,"[15, 20]","[15, 20]",better adapted to Central Texas than Eastern Redbud (Cercis canadensis var. canadensis).,2,0,0,2,0,http://ekps.tamu.edu//images/plants/cerciscanadensisvartexensis3.jpg,['tree'],['small']
1677,Bay Laurel,4,Laurus nobilis,"['sun', 'partial sun']",10,Bay Laurel is the classic laurel of antiquity used to fashion victory wreaths for ancient Greek and Roman generals and athletes. It also serves as a handsome upright growing evergreen larger shrub to small tree. The foliage is bay scented when crushed.,{'white'},{'spring'},FALSE,"[10, 20]","[8, 15]",Also an important culinary herb. A moderately slow growing species.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/laurusnobilis4.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
2085,Indian Paintbrush,5,Castilleja indivisa,"['sun', 'partial sun']",10,"Indian Paintbrush, a reseeding annual, is one of Texas' most widely recognized wildflowers. Its occurance is often accompanied by that of Bluebonnets (Lupinus spp.), one of the genera on which it is parasitic. The orange to red-orange flowers are its aesthetic feature. Steeped in Texas legend. Does not perform particularly well in cultivated gardens, best left as a wildflower.","{'red', 'yellow', 'orange'}",{'spring'},FALSE,"[1, 2]","[1.0, 1.5]",Tolerant of most any sunny well drained site. Sow seeds in autumn.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/castille.jpg,['annual'],"['small', 'medium']"
2086,Ash Juniper,5,Juniperus ashei,['sun'],10,Ash Juniper is an evergreen large shrub to medium size tree native to the Texas Hill Country. This species range occurs just to the west of that of Juniperus virginiana. Trees begin roughly conical and become more rounded in habit at maturity. Trunks may be single to multiple stem. The bark on the sinuous trunk exfoliates in stringy strips. It serves as critical habitate for several species of wildlife.,set(),"{'spring', 'winter'}",TRUE,"[15, 25]","[15, 20]",Tends to develop dense thickets when not controlled.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/juniperusashei4.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
2087,Lacey Oak,5,Quercus laceyi (Quercus glaucoides),['sun'],10,"Lacey Oak is a medium size deciduous tree native to the Hill Country of Texas. Trees are reminiscent of a smaller version of White Oak, with handsome bluish green leaves, a stout trunk, and flaky exfoliating bark. Excellent drought, heat, and high pH soil tolerance are hallmarks of this species. The mast is regionally important for wildlife.","{'yellow', 'green'}",{'spring'},TRUE,"[30, 50]","[30, 35]",Marginally hardy in zone 6. Requires well drained soils. Trees are not as vigorous in high humidity environments as in drier portions or our region.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/quercuslaceyi5.jpg,['tree'],"['small', 'medium']"
2088,Primrose Jasmine,5,Jasminum mesnyi,"['sun', 'partial sun']",10,Primrose Jasmine is a small to medium size semi-evergreen to evergreen shrub. Plants develop long arching stems resulting in a flowing mound of foliage that works well cascading down slopes or over retaining walls. Solitary bright yellow flowers appear in late winter to early spring when few other shrubs are in bloom.,{'yellow'},"{'spring', 'winter'}",FALSE,"[4, 7]","[6, 10]","Plants may need periodic pruning to enhance their shape. Bothered by very few pests or diseases. Tough durable shrub. Bloom is interesting, but not breathtaking.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/jasminum.jpg,['shrub'],"['small', 'medium']"
2089,Agarito,5,Berberis trifoliolata,"['sun', 'partial sun']",10,"Berberis trifoliolata is a small to medium size coarse textured evergreen shrub. Agarito is valued for its holly-like leaflets, late winter to early spring yellow flowers and red summer fruit. It is an effective barrier plant for adverse sites. Fits well with naturalized landscapes.",{'yellow'},"{'spring', 'winter'}",TRUE,"[3, 8]","[3, 6]","One of best native Berberis / Mahonia for use on neutral to alkaline soils. Needs well drained soils, reportedly tolerant of cotton root rot.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/berberisfoliolata.jpg,['shrub'],"['small', 'medium']"
2497,Tulips,6,Tulipa spp.,['sun'],10,"Tulips are the classic spring flowering bulb. Valued for their colorful flower displays, they offer little appeal once flowering is done. The glaucous foliage is sparse, dying down in the summer heat. Few taxa return bloom in subsequent years in Texas; In most locations the vernalization requirement is not met unless bulbs are prechilled for 6 or 8 weeks prior to planting.",{'red'},{'spring'},FALSE,"[3, 3]","[1, 6]",Essentially a cool season annual bulb in Texas. Flowering period is often as short as a few days when spring heat hastens the process.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/tulipasp.jpg,"['perennial', 'annual']","['small', 'medium']"
2498,"Daffodils, Jonquils, Paperwhites, or Narcissus",6,Narcissus spp.,['sun'],10,The genus Narcissus encompasses dozens of species and hundreds if not thousands of cultivars. One or more cultivars are adapted to almost every region of the state. Flower stalks arise from tufts of linear roundish leaves. Flowers vary from single peony-like to trumpet-shapes subtended by a ring of petals. Others are borne as several flowers on the same stalk as in Paperwhite Narcissus.,"{'red', 'pink', 'yellow', 'orange', 'white'}","{'spring', 'winter'}",FALSE,"[1.0, 1.5]","[0.5, 0.8333333333333334]",Foliage dies down in summer; check with your local extension agent or professional nursery personnel to determine the best cultivars for your region.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/narcissu.jpg,"['perennial', 'annual']","['small', 'medium']"
2499,Texas Bluebonnet,6,Lupinus texensis,"['sun', 'partial sun']",10,"Texas Bluebonnets are one of six Lupinus spp. that are considered to be the Texas state flowers. While long valued as Texas' premier wildflower, creating seas of blue hillsides in spring, there has been a movement of late to plant bluebonnet seedlings as cool season bedding plants. Selection work by Texas A&M University Extension personnel has expanded the color range from blue to maroon (wouldn't you know it with Aggies involved), pink, or white.","{'blue', 'white', 'pink', 'maroon'}",{'spring'},FALSE,"[1.0, 1.5]","[1.5, 2.0]",Tolerate most well drained soils; use scarified seed to maximize the seedlings during the first year after sowing.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/lupinus.jpg,['annual'],"['small', 'medium']"
2500,Dutch Hyacinth,6,Hyacinthus orientalis,['sun'],10,"Dutch Hyacinth are bred for large dense flower racemes of purple, blue, pink, or white fragrant flowers. Many of the species type Dutch Hyacinth are only effective as cool season annuals from chilled bulbs in most of Texas. The smaller more loose raceme type Roman Hyacinth or French Roman Hyacinth (Hyacinthus orientalis var. albus) is better adapted and can be naturalized in Texas.","{'blue', 'white', 'pink'}",{'spring'},FALSE,"[0.5, 0.8333333333333334]","[0.4166666666666667, 0.6666666666666666]",Taxa in the trade are mostly the species type and the better adapted H. orientalis var. albus is difficult to locate in large numbers.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/hyacinthusorientalis.jpg,"['perennial', 'annual']","['small', 'large']"
2501,Lanceleaf Coreopsis,6,Coreopsis lanceolata,"['sun', 'partial sun']",10,"Lanceleaf Coreopsis is an old-fashion wildflower that has found popularity as a herbaceous perennial in modern landscapes. Present from late winter as a compact rosette of leaves, the plant sends up slender flowering stalks with yellow to yellow-brown disk flowers and showy yellow ray flowers from spring to early summer, then sporadically till frost. Improved cultivars stay more compact and / or have improved flower characteristics.","{'red', 'yellow', 'brown'}","{'spring', 'summer'}",FALSE,"[1, 9]","[0.5, 0.75]",Can be invasive on good sites; older types tend to be floppy growers; avoid poorly drained locations and excess fertilizer.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/coreopsislanceolata.jpg,['perennial'],"['small', 'medium']"
2909,Dwarf Palmetto Palm,7,Sabal minor,"['sun', 'partial sun', 'shade']",10,"Dwarf Palmetto Palms are among the most cold hardy palms in the world with successful plantings in USDA zones 7b and protected locations in 7a. Somewhat slighted by designers due to its very coarse texture, but highly deserving of greater usage as a tropical accent. The fan-palm like foliage radiates from a woody base, but the species rarely develops a trunk. Also useful in xeriscapes and coastal plantings.",{'white'},{'spring'},TRUE,"[5, 12]","[5, 7]","One of our most versatil palms, once established it tolerates drought, seasonal poor drainage, full sun to moderately dense shade, soil and foliar salts, variable pH soils, and has few pests or diseases.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/sabalminor.jpg,"['shrub', 'tropical']","['medium', 'large']"
2910,Blue Plumbago,7,Plumbago auriculata,"['sun', 'partial sun']",10,Blue Plumbago is a tropical shrub that is frequently planted as a herbaceous perennial or summer annual in cooler climates. Plants form irregularly mounded small shrubs with clusters of white to medium blue flowers from spring to frost.,"{'blue', 'white'}","{'fall', 'spring', 'summer'}",TRUE,"[2, 4]","[2, 5]","Rapid grower that requires N applications during the growing season to retain its dark green color, tendency for flowers of some cultivars to fade in the heat; requires regular pruning to remain dense.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/plumbago.jpg,"['perennial', 'shrub', 'annual', 'tropical']","['small', 'medium']"
2911,Showy Stonecrop Sedum,7,Sedum spectabile,"['sun', 'partial sun']",10,Showy Stonecrop Sedum is a widely utilized herbaceous perennial succulent in American gardens. It is well adapted to heat or cold as well as moderate drought. The succulent foliage forms a rounded mound after overwintering in a rosette form. Foliage is topped with attractive umbels of white to bronze-red small flowers; the persistent seed heads are attactive into autumn.,"{'red', 'white'}",{'summer'},TRUE,"[1, 2]","[1, 2]",Needs only occasional watering in summer.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/sedumspe.jpg,['perennial'],['small']
2912,Desert Willow,7,Chilopsis linearis,['sun'],10,"Desert Willow is a delicate small deciduous tree native to West Texas. Desert Willow derives its name from the resemblence of the foliage to that of willows (Salix spp.). In addition to its ability to withstand arid conditions, it offers recurring flushes of white to lavender maroon Catalpa-like flowers in small panicles. Growth is irregular and requires attention to trunk development during early growth.","{'white', 'maroon'}","{'fall', 'spring', 'summer'}",TRUE,"[15, 30]","[15, 20]","Actually quite well adapted throughout Texas except for colder portions of the Panhandle; good xeriscape plant; persistent seed pods can be messy; the related X Chitalpa tashkentensis is a hybrid between Chilopsis linearis and Catalpa bignonioides with white to pale pink Catalpa-like flowers in recurring flushes, but is susceptible to Alterneria leaf spot.",2,0,0,2,0,http://ekps.tamu.edu//images/plants/chilopsi.jpg,"['shrub', 'tree']","['small', 'large']"
2913,Yellow Bells or Esperanza,7,Tecoma stans var. angustata,"['sun', 'partial sun']",10,"Yellow Bells is a native Texas deciduous suckering shrub, subshrub, herbaceous perennial, or annual depending on the portion of the state in which it is grown. Despite rather narrow leaflets, the overall form of the shrub is somewhat coarse and ratty. The yellow flowers that occur sporadically from late spring to frost are its best attribute. Periodic pruning to maintain canopy structure is adviseable.",{'yellow'},"{'fall', 'spring', 'summer'}",TRUE,"[3, 6]","[3, 6]",Very tough durable heat and drought tolerant shrub; soil adaptable as long as well drained. More cold hardy than the species type.,2,0,0,2,0,http://ekps.tamu.edu//images/plants/tecomastansvarangustata3.jpg,"['perennial', 'shrub', 'annual', 'tropical']","['small', 'medium']"
